point,mode,source_batch,result_re,result_im,is_nan,final_precision,final_status,estimated_relative_accuracy,precision_history,primary_cut_weights,evaluation_seconds,raw_output_sha256
ap_nearby,z_norm,AP48,-7.394131575452668e-42,-3.445765925524822e-40,False,Quad,"{""Stable"":2}",3.6984603519307134e-13,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.9999924347853645},{""precision"":""Quad"",""status"":{""Stable"":2},""estimated_relative_accuracy"":3.6984603519307134e-13}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998663973016335e-42,""im"":-3.446123614213206e-40},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":4.1714786712782024e-80,""im"":1.9747923184760473e-47}}",0.238695604,9a27007edf2fd5aaede786f7bd5463e909c59da9d5d63b2117d121bcc5c9c41b
ap_nearby,z_components,AP48,-7.394131575460281e-42,-3.4457659255260954e-40,False,Quad,"{""Stable"":2}",1.0296405549616542e-12,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":1.0000075652718683},{""precision"":""Quad"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.0296405549616542e-12}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998663973016335e-42,""im"":-3.446123614213206e-40},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":4.1714786712782024e-80,""im"":1.9747923184760473e-47}}",0.220239737,c17cfc173524246bd1430173d3bfe096c926506768f37653e7ae6d35ae46c1a5
ap_nearby,euler_norm,AP48,-7.394130188969977e-42,-3.0757937896948634e-43,False,Arb,"{""Stable"":2}",3.011536495298269e-269,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.0008670844697582469},{""precision"":""Quad"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.9325188606336585},{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":3.011536495298269e-269}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998662586533643e-42,""im"":-3.433482478078546e-43},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":0.0,""im"":1.9747923184760473e-47}}",2.657014552,4956635080baeb46a4608e855af01a40e080b82aaf1245df4d02184463588744
ap_nearby,euler_components,AP48,-7.394130188969977e-42,-3.0757937896948634e-43,False,Arb,"{""Stable"":2}",1.743406600455616e-266,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.1941775759926859},{""precision"":""Quad"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":1.0566766139976678},{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.743406600455616e-266}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998662586533643e-42,""im"":-3.433482478078546e-43},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":0.0,""im"":1.9747923184760473e-47}}",2.654429383,79062269102a92e590442d3bda65e18d5c6d012a80f66a3c48892612326fbf88
ap_nearby,euler3_norm,AP48,-7.394130188969977e-42,-3.0757937896948634e-43,False,Arb,"{""Stable"":4}",6.023148441512894e-269,"[{""precision"":""Double"",""status"":{""Unstable"":4},""estimated_relative_accuracy"":0.9999962173050544},{""precision"":""Quad"",""status"":{""Unstable"":4},""estimated_relative_accuracy"":0.10986493546469124},{""precision"":""Arb"",""status"":{""Stable"":4},""estimated_relative_accuracy"":6.023148441512894e-269}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998662586533643e-42,""im"":-3.433482478078546e-43},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":0.0,""im"":1.9747923184760473e-47}}",5.711956334,67cdd8d7f461ba4805f5bd485425be3a0be98ac03eeb458d583cd2ba4e91b2ad
ap_nearby,euler3_components,AP48,-7.394130188969977e-42,-3.0757937896948634e-43,False,Arb,"{""Stable"":4}",3.486856880154733e-266,"[{""precision"":""Double"",""status"":{""Unstable"":4},""estimated_relative_accuracy"":1.000003782709267},{""precision"":""Quad"",""status"":{""Unstable"":4},""estimated_relative_accuracy"":7.404931126608842},{""precision"":""Arb"",""status"":{""Stable"":4},""estimated_relative_accuracy"":3.486856880154733e-266}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998662586533643e-42,""im"":-3.433482478078546e-43},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":0.0,""im"":1.9747923184760473e-47}}",5.716335675,f6a86d2f7884590a9019f2b02c7e8d72aeb5be91cd0f35ce85562c3a49fca03d
ap_nearby,z_strict_quad,AP48,-7.394130188969977e-42,-3.0757937896948634e-43,False,Arb,"{""Stable"":2}",3.369714238247868e-282,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.9999924347853645},{""precision"":""Quad"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":3.6984603519307134e-13},{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":3.369714238247868e-282}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998662586533643e-42,""im"":-3.433482478078546e-43},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":0.0,""im"":1.9747923184760473e-47}}",2.317745841,a1bc87e5e733eea00fd223f64f6b9a03b1ba461c366aeb881a9106868ef9dc7c
ap_nearby,euler_strict_quad,AP48,-7.394130188969977e-42,-3.0757937896948634e-43,False,Arb,"{""Stable"":2}",3.011536495298269e-269,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.0008670844697582469},{""precision"":""Quad"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.9325188606336585},{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":3.011536495298269e-269}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998662586533643e-42,""im"":-3.433482478078546e-43},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":0.0,""im"":1.9747923184760473e-47}}",2.6594801649999997,e1585d0fc60e68dcff57b1c8c4fa587bb216fd98cca9ef6bb658806816b5f55b
ap_nearby,euler_double_arb,AP48,-7.394130188969977e-42,-3.0757937896948634e-43,False,Arb,"{""Stable"":2}",3.011536495298269e-269,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.0008670844697582469},{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":3.011536495298269e-269}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998662586533643e-42,""im"":-3.433482478078546e-43},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":0.0,""im"":1.9747923184760473e-47}}",2.481348195,85a02865d5ee7575d6bfe8f0be8d9bcefd325406c7d29982aae20911977d3147
ap_nearby,quad_euler_norm,AP48,-7.394131575452668e-42,-3.445765925524822e-40,False,Quad,"{""Unstable"":2}",0.9325188606336585,"[{""precision"":""Quad"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.9325188606336585}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998663973016335e-42,""im"":-3.446123614213206e-40},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":4.1714786712782024e-80,""im"":1.9747923184760473e-47}}",0.193687609,d09295dda351233c2fba979e7d1cb6352d6194d07b7c49cfe373abb060392f36
ap_nearby,quad_euler_components,AP48,-7.394130862413656e-42,-1.675404826443332e-40,False,Quad,"{""Unstable"":2}",1.0566766139976678,"[{""precision"":""Quad"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":1.0566766139976678}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998663973016335e-42,""im"":-3.446123614213206e-40},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":4.1714786712782024e-80,""im"":1.9747923184760473e-47}}",0.1860343,d38b01bda930f9b7bbd515ed73a454041b3a78885eddbd37aaea1f47f1f65510
ap_nearby,arb_z,AP48,-7.394130188969977e-42,-3.0757937896948634e-43,False,Arb,"{""Stable"":2}",3.369714238247868e-282,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":3.369714238247868e-282}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998662586533643e-42,""im"":-3.433482478078546e-43},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":0.0,""im"":1.9747923184760473e-47}}",2.079867889,d1bb62867f78bc04ae3d06ef2752f37d16213539e6940c12eace64e1afc329e6
ap_nearby,arb_euler,AP48,-7.394130188969977e-42,-3.0757937896948634e-43,False,Arb,"{""Stable"":2}",3.011536495298269e-269,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":3.011536495298269e-269}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998662586533643e-42,""im"":-3.433482478078546e-43},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":0.0,""im"":1.9747923184760473e-47}}",2.433163473,161678218be64008ed4d1e2b2fc0c37a4ad7784cf8559c2607c6dd878483e37a
ap_nearby,arb_euler_components,AP48,-7.394130188969977e-42,-3.0757937896948634e-43,False,Arb,"{""Stable"":2}",1.743406600455616e-266,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.743406600455616e-266}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998662586533643e-42,""im"":-3.433482478078546e-43},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":0.0,""im"":1.9747923184760473e-47}}",2.459512489,9940ce363578919c942e5352b57e219d448f907ac682e70fdda1c243679d0137
ap_nearby,arb_euler3_components,AP48,-7.394130188969977e-42,-3.0757937896948634e-43,False,Arb,"{""Stable"":4}",3.486856880154733e-266,"[{""precision"":""Arb"",""status"":{""Stable"":4},""estimated_relative_accuracy"":3.486856880154733e-266}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998662586533643e-42,""im"":-3.433482478078546e-43},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":0.0,""im"":1.9747923184760473e-47}}",5.289918076,73a41aaf2b402988406a0b754c8ccad431b9c27d619d805d0687933362593527
ap_nearby,euler_exact_zero_escalation,AP48,-7.394130188969977e-42,-3.0757937896948634e-43,False,Arb,"{""Stable"":2}",3.011536495298269e-269,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.0008670844697582469},{""precision"":""Quad"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.9325188606336585},{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":3.011536495298269e-269}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998662586533643e-42,""im"":-3.433482478078546e-43},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":0.0,""im"":1.9747923184760473e-47}}",2.666657173,c9d64d82d5e9646024891b4cb4f2b089a47ef18e17067c3c8d1327c1f764eb82
ap_nearby,euler_norm_trigger_quad,AP48,-7.394130188969977e-42,-3.0757937896948634e-43,False,Arb,"{""Stable"":2}",3.011536495298269e-269,"[{""precision"":""Quad"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.9325188606336585},{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":3.011536495298269e-269}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998662586533643e-42,""im"":-3.433482478078546e-43},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":0.0,""im"":1.9747923184760473e-47}}",2.610745152,674c0b09efd50def9fb3584b8cbee03addabb51c2413603517996522fecff649
ap_nearby,euler_norm_trigger_arb,AP48,-7.394130188969977e-42,-3.0757937896948634e-43,False,Arb,"{""Stable"":2}",3.011536495298269e-269,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":3.011536495298269e-269}]","{""3"":{""re"":-4.345937771605393e-43,""im"":6.257606798186075e-44},""4"":{""re"":4.579226505396572e-45,""im"":-4.888982830593262e-45},""1"":{""re"":-6.998662586533643e-42,""im"":-3.433482478078546e-43},""0"":{""re"":3.3991689635631365e-44,""im"":-2.2092450164217432e-44},""5"":{""re"":5.552585831779965e-46,""im"":1.5448592813343327e-46},""2"":{""re"":0.0,""im"":1.9747923184760473e-47}}",2.444664722,968ae2212614a8a3c81504098070f79e76a003da9b8c488b16fc50007f1fe51e
ap_equal,z_norm,AP48,0.0,0.0,True,Arb,"{""Unstable"":2}",,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":null},{""precision"":""Quad"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.06242905788876276},{""precision"":""Arb"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":null}]","{""3"":{""re"":-4.289737549986586e-43,""im"":6.178640250968247e-44},""4"":{""re"":4.5170733257255984e-45,""im"":-4.817856700181455e-45},""1"":{""re"":null,""im"":null},""0"":{""re"":3.3630716109635333e-44,""im"":-2.1823754808361572e-44},""5"":{""re"":5.4538802284028284e-46,""im"":1.5201767490231868e-46},""2"":{""re"":0.0,""im"":1.9300426612060188e-47}}",2.29767049,c728048fbf3a8c13e0f6178ce3e8ab41d8ed70961e384bc5740f59a4c1325ebe
